Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-06 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,15,0,Alarm,8.4,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,24,0,Alarm,26.1,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,24,0,Alarm,41.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,42,0,InVld,37.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,24,0,Alarm,28.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,18.2,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,Samp<,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,Samp<,Alarm,Alarm,Alarm,,,,,,,
2010-01-06 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,20.2,Samp<,Samp<,Samp<,,,,,,,
2010-01-06 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,22.1,1,7,6.3,,,,,,,
2010-01-06 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,Alarm,Alarm,13.6,1,6.5,5.5,,,,,,,
2010-01-06 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,Alarm,Alarm,8.9,1.2,6.2,5.2,,,,,,,
2010-01-06 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,Alarm,Alarm,9.8,1.2,6,4.5,,,,,,,
2010-01-06 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,InVld,Alarm,10.1,1,5.2,4,,,,,,,
2010-01-06 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,InVld,Alarm,15.3,0,3,3,,,,,,,
2010-01-06 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,InVld,Alarm,20.1,0,2.2,2.2,,,,,,,
2010-01-07 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,23,0,2.2,1.8,,,,,,,
2010-01-07 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,23.7,0,2.2,2,,,,,,,
2010-01-07 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,23.2,0,2.2,1.8,,,,,,,
2010-01-07 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,20.3,0.5,2,1.2,,,,,,,
2010-01-07 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,20.1,0.2,2.8,2,,,,,,,
2010-01-07 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,12.2,1,4.8,4,,,,,,,
2010-01-07 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,8.8,3,8.3,5,,,,,,,
2010-01-07 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,15.1,2.8,7.2,4.8,,,,,,,
2010-01-07 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,24.1,1.8,5.2,3.5,,,,,,,
2010-01-07 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,29.3,1,3.5,2.5,,,,,,,
2010-01-07 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,Alarm,26.9,0.8,3.2,2.8,,,,,,,
2010-01-07 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,InVld,0,InVld,25.1,1,3.2,2.2,,,,,,,
2010-01-07 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,30,1,3.2,2.5,,,,,,,
2010-01-07 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,41.5,1,4,3.2,,,,,,,
